Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,16847,13930,650,1447,148,672,75.0,16847.0,137.0,2547.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,16995,14447,572,1125,169,682,79.0,16995.0,171.0,2900.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,16732,13669,694,1359,149,861,79.0,16732.0,202.0,2444.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,16673,13359,784,1410,183,937,78.0,16673.0,180.0,2401.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,16364,12956,841,1504,164,899,77.0,16364.0,138.0,2329.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,15432,11976,820,1528,184,924,74.0,15432.0,130.0,2023.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/07 00:00:00,1398/12/07 21:10:00,610.0,5182,4152,239,414,57,320,70.0,14219.0,14.0,575.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/08 03:15:00,1398/12/09 00:00:00,855.0,10931,8756,489,964,123,599,76.0,17047.0,107.0,1602.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,15177,12169,746,1370,143,749,75.0,15177.0,136.0,2784.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,15387,12046,788,1425,156,972,77.0,15387.0,173.0,1952.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,14242,10993,759,1437,146,907,75.0,14242.0,143.0,1797.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,11674,8981,556,1134,146,857,71.0,11674.0,38.0,1130.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/13 00:00:00,1398/12/14 00:00:00,865.0,9232,6809,560,1005,101,757,72.0,12640.0,56.0,1077.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/14 00:00:00,1398/12/15 00:00:00,1110.0,11729,8805,676,1259,146,843,76.0,14172.0,100.0,1531.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,14765,11829,649,1281,162,844,77.0,14765.0,165.0,1918.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,13322,10734,626,1179,106,677,78.0,13322.0,147.0,1631.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,12383,9556,602,1226,146,853,77.0,12383.0,139.0,1297.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,11908,9340,609,1159,107,693,78.0,11908.0,143.0,1346.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,12669,9659,717,1315,131,847,78.0,12669.0,164.0,1364.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,12182,9104,776,1269,153,880,77.0,12182.0,160.0,1297.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,12063,9157,765,1215,137,789,78.0,12063.0,133.0,1186.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,11909,9440,538,1146,93,692,77.0,11909.0,151.0,1154.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,10203,7807,579,1057,95,665,77.0,10203.0,131.0,933.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,12321,9543,679,1266,119,714,78.0,12321.0,183.0,1321.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,12146,9315,749,1217,112,753,76.0,12146.0,117.0,1351.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,12186,9409,755,1250,95,677,76.0,12186.0,113.0,1313.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,11303,8894,655,1060,98,596,73.0,11303.0,54.0,1034.0,0.0
164101,قائمشهر - فيروزکوه (قائمشهر - شيرگاه),1398/12/28 00:00:00,1398/12/28 21:10:00,1095.0,8068,6765,386,559,51,307,77.0,11119.0,65.0,723.0,0.0
