Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
163352,قائمشهر - بابل,1398/12/01 00:00:00,1398/12/02 00:00:00,1440.0,36133,32640,1226,1350,356,561,75.0,36133.0,99.0,11540.0,0.0
163352,قائمشهر - بابل,1398/12/02 00:00:00,1398/12/03 00:00:00,1440.0,27668,25382,723,845,293,425,79.0,27668.0,74.0,7225.0,0.0
163352,قائمشهر - بابل,1398/12/03 00:00:00,1398/12/04 00:00:00,1440.0,33626,30339,1222,1231,329,505,78.0,33626.0,111.0,10070.0,0.0
163352,قائمشهر - بابل,1398/12/04 00:00:00,1398/12/05 00:00:00,1440.0,33457,30001,1221,1378,361,496,78.0,33457.0,80.0,10223.0,0.0
163352,قائمشهر - بابل,1398/12/05 00:00:00,1398/12/06 00:00:00,1440.0,32831,29327,1289,1311,320,584,77.0,32831.0,86.0,10186.0,0.0
163352,قائمشهر - بابل,1398/12/06 00:00:00,1398/12/07 00:00:00,1440.0,31888,28529,1201,1285,341,532,76.0,31888.0,67.0,8972.0,0.0
163352,قائمشهر - بابل,1398/12/07 00:00:00,1398/12/08 00:00:00,1400.0,28454,25158,1100,1352,337,507,74.0,29396.0,98.0,7818.0,0.0
163352,قائمشهر - بابل,1398/12/08 00:00:00,1398/12/09 00:00:00,1440.0,59513,54134,2005,1931,507,936,71.0,59513.0,146.0,35210.0,0.0
163352,قائمشهر - بابل,1398/12/09 00:00:00,1398/12/10 00:00:00,1440.0,31970,28712,1122,1210,296,630,74.0,31970.0,74.0,12823.0,0.0
163352,قائمشهر - بابل,1398/12/10 00:00:00,1398/12/11 00:00:00,1440.0,31075,27523,1271,1360,353,568,78.0,31075.0,86.0,9095.0,0.0
163352,قائمشهر - بابل,1398/12/11 00:00:00,1398/12/12 00:00:00,1440.0,29523,25825,1301,1459,300,638,75.0,29523.0,107.0,8451.0,0.0
163352,قائمشهر - بابل,1398/12/12 00:00:00,1398/12/13 00:00:00,1440.0,26361,23091,1088,1298,294,590,72.0,26361.0,79.0,6668.0,0.0
163352,قائمشهر - بابل,1398/12/13 00:00:00,1398/12/14 00:00:00,1440.0,26949,23726,1087,1296,297,543,75.0,26949.0,94.0,6929.0,0.0
163352,قائمشهر - بابل,1398/12/14 00:00:00,1398/12/15 00:00:00,1440.0,29195,25796,1163,1394,291,551,78.0,29195.0,105.0,8349.0,0.0
163352,قائمشهر - بابل,1398/12/15 00:00:00,1398/12/16 00:00:00,1440.0,28689,25234,1243,1350,295,567,78.0,28689.0,122.0,7777.0,0.0
163352,قائمشهر - بابل,1398/12/16 00:00:00,1398/12/17 00:00:00,1440.0,20305,17846,868,982,226,383,79.0,20305.0,100.0,3979.0,0.0
163352,قائمشهر - بابل,1398/12/17 00:00:00,1398/12/18 00:00:00,1440.0,25242,22123,1110,1216,263,530,77.0,25242.0,49.0,5987.0,0.0
163352,قائمشهر - بابل,1398/12/18 00:00:00,1398/12/19 00:00:00,1440.0,19061,16566,886,954,203,452,78.0,19061.0,35.0,3281.0,0.0
163352,قائمشهر - بابل,1398/12/19 00:00:00,1398/12/20 00:00:00,1440.0,24904,22016,1045,1117,264,462,79.0,24904.0,87.0,5891.0,0.0
163352,قائمشهر - بابل,1398/12/20 00:00:00,1398/12/21 00:00:00,1440.0,24090,20958,1085,1217,286,544,79.0,24090.0,98.0,5588.0,0.0
163352,قائمشهر - بابل,1398/12/21 00:00:00,1398/12/22 00:00:00,1440.0,24170,21053,1059,1278,258,522,79.0,24170.0,84.0,5774.0,0.0
163352,قائمشهر - بابل,1398/12/22 00:00:00,1398/12/23 00:00:00,1440.0,22937,19870,1064,1197,225,581,78.0,22937.0,78.0,5199.0,0.0
163352,قائمشهر - بابل,1398/12/23 00:00:00,1398/12/24 00:00:00,1440.0,15903,13924,629,782,204,364,78.0,15903.0,34.0,2286.0,0.0
163352,قائمشهر - بابل,1398/12/24 00:00:00,1398/12/25 00:00:00,1440.0,23749,21126,961,1027,232,403,79.0,23749.0,46.0,5433.0,0.0
163352,قائمشهر - بابل,1398/12/25 00:00:00,1398/12/26 00:00:00,1440.0,23246,20485,962,1071,270,458,78.0,23246.0,56.0,5214.0,0.0
163352,قائمشهر - بابل,1398/12/26 00:00:00,1398/12/27 00:00:00,1440.0,22578,18651,1246,1675,490,516,81.0,22578.0,448.0,5082.0,0.0
163352,قائمشهر - بابل,1398/12/27 00:00:00,1398/12/28 00:00:00,1440.0,21751,19353,951,864,232,351,78.0,21751.0,123.0,4529.0,0.0
163352,قائمشهر - بابل,1398/12/28 00:00:00,1398/12/29 00:00:00,1440.0,21704,19751,684,743,182,344,79.0,21704.0,43.0,4356.0,0.0
163352,قائمشهر - بابل,1398/12/29 00:00:00,1399/01/01 00:00:00,1440.0,17386,16225,397,396,142,226,80.0,17386.0,24.0,2912.0,0.0
163352,قائمشهر - بابل,1400/01/01 00:00:00,1400/01/02 00:00:00,1405.0,18942,17662,853,157,21,249,94.0,19782.0,4938.0,3077.0,0.0
163352,قائمشهر - بابل,1400/01/02 00:00:00,1400/01/03 00:00:00,1310.0,20578,18995,1098,170,37,278,93.0,22555.0,4491.0,3921.0,0.0
163352,قائمشهر - بابل,1400/01/03 00:00:00,1400/01/04 00:00:00,1410.0,24216,22195,1358,272,31,360,93.0,24922.0,5651.0,4519.0,0.0
163352,قائمشهر - بابل,1400/01/04 00:00:00,1400/01/05 00:00:00,1405.0,27748,25329,1649,353,41,376,93.0,28640.0,5746.0,6415.0,0.0
163352,قائمشهر - بابل,1400/01/05 00:00:00,1400/01/06 00:00:00,1435.0,26994,24609,1561,364,45,415,92.0,27027.0,5637.0,5314.0,0.0
163352,قائمشهر - بابل,1400/01/06 00:00:00,1400/01/07 00:00:00,1350.0,24624,22667,1265,316,40,336,93.0,25821.0,5698.0,5229.0,0.0
163352,قائمشهر - بابل,1400/01/07 00:00:00,1400/01/08 00:00:00,1230.0,21350,19242,1312,356,48,392,90.0,26168.0,3808.0,4079.0,0.0
163352,قائمشهر - بابل,1400/01/08 00:00:00,1400/01/09 00:00:00,1340.0,24190,21539,1569,513,63,506,90.0,27154.0,4515.0,5015.0,0.0
163352,قائمشهر - بابل,1400/01/09 00:00:00,1400/01/10 00:00:00,1370.0,27453,24956,1484,451,45,517,88.0,29440.0,6090.0,5731.0,0.0
163352,قائمشهر - بابل,1400/01/10 00:00:00,1400/01/10 22:40:00,1230.0,27070,24360,1649,529,46,486,91.0,31226.0,5901.0,6118.0,0.0
163352,قائمشهر - بابل,1400/01/11 00:00:00,1400/01/11 23:55:00,1430.0,29131,26116,1768,574,64,609,91.0,29261.0,5621.0,6229.0,0.0
163352,قائمشهر - بابل,1400/01/12 00:00:00,1400/01/13 00:00:00,1435.0,22302,20086,1274,404,59,479,92.0,22334.0,4975.0,3635.0,0.0
163352,قائمشهر - بابل,1400/01/13 00:00:00,1400/01/14 00:00:00,1405.0,15485,14347,712,183,18,225,94.0,15878.0,4105.0,2171.0,0.0
163352,قائمشهر - بابل,1400/01/14 00:00:00,1400/01/15 00:00:00,1400.0,24091,21437,1581,521,60,492,90.0,25153.0,4773.0,4633.0,0.0
163352,قائمشهر - بابل,1400/01/15 00:00:00,1400/01/16 00:00:00,1310.0,24152,21108,1725,678,78,563,92.0,26778.0,5352.0,5269.0,0.0
163352,قائمشهر - بابل,1400/01/16 00:00:00,1400/01/17 00:00:00,1405.0,26038,22654,1880,723,83,698,92.0,26795.0,5563.0,5252.0,0.0
163352,قائمشهر - بابل,1400/01/17 00:00:00,1400/01/18 00:00:00,1370.0,25470,22169,1881,687,74,659,92.0,26828.0,5284.0,5229.0,0.0
163352,قائمشهر - بابل,1400/01/18 00:00:00,1400/01/19 00:00:00,1405.0,26311,22981,1851,709,78,692,92.0,27191.0,5592.0,5474.0,0.0
163352,قائمشهر - بابل,1400/01/19 00:00:00,1400/01/20 00:00:00,1425.0,25408,22183,1823,606,73,723,93.0,25727.0,5688.0,5021.0,0.0
163352,قائمشهر - بابل,1400/01/20 00:00:00,1400/01/21 00:00:00,1435.0,19271,17073,1158,437,56,547,93.0,19289.0,4517.0,2748.0,0.0
163352,قائمشهر - بابل,1400/01/21 00:00:00,1400/01/22 00:00:00,1440.0,25747,22219,1973,722,70,763,90.0,25747.0,4639.0,5009.0,0.0
163352,قائمشهر - بابل,1400/01/22 00:00:00,1400/01/23 00:00:00,1435.0,24153,20917,1794,655,68,719,92.0,24211.0,5034.0,4411.0,0.0
163352,قائمشهر - بابل,1400/01/23 00:00:00,1400/01/24 00:00:00,1365.0,23773,20363,1859,744,84,723,92.0,25551.0,5040.0,4800.0,0.0
163352,قائمشهر - بابل,1400/01/24 00:00:00,1400/01/25 00:00:00,1405.0,24635,21221,1847,731,92,744,91.0,25091.0,4997.0,4670.0,0.0
163352,قائمشهر - بابل,1400/01/25 00:00:00,1400/01/26 00:00:00,1370.0,23074,19691,1897,665,79,742,91.0,24499.0,4595.0,4546.0,0.0
163352,قائمشهر - بابل,1400/01/26 00:00:00,1400/01/27 00:00:00,1380.0,22327,19176,1700,627,68,756,91.0,23828.0,4616.0,4272.0,0.0
163352,قائمشهر - بابل,1400/01/27 00:00:00,1400/01/28 00:00:00,1400.0,16976,14825,1118,448,49,536,91.0,17558.0,3815.0,2392.0,0.0
163352,قائمشهر - بابل,1400/01/28 00:00:00,1400/01/29 00:00:00,1395.0,25575,22441,1799,685,49,601,82.0,25978.0,4524.0,4661.0,0.0
163352,قائمشهر - بابل,1400/01/29 00:00:00,1400/01/30 00:00:00,1330.0,22133,18924,1788,678,52,691,91.0,24615.0,4350.0,4199.0,0.0
163352,قائمشهر - بابل,1400/01/30 00:00:00,1400/01/31 00:00:00,1330.0,25342,21715,2036,808,65,718,90.0,26981.0,4928.0,6125.0,0.0
163352,قائمشهر - بابل,1400/01/31 00:00:00,1400/02/01 00:00:00,1405.0,26308,22669,2052,811,60,716,90.0,26770.0,5001.0,5560.0,0.0
163352,قائمشهر - بابل,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,31643,25328,3285,1949,352,729,83.0,31643.0,2473.0,10575.0,29.0
163352,قائمشهر - بابل,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,31248,25663,2802,1766,300,717,82.0,31248.0,2071.0,10393.0,32.0
163352,قائمشهر - بابل,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,33438,27554,3012,1854,303,715,83.0,33438.0,2434.0,11581.0,23.0
163352,قائمشهر - بابل,1400/12/04 00:00:00,1400/12/05 00:00:00,1430.0,34314,27832,3100,2173,393,816,83.0,34638.0,2601.0,12354.0,29.0
163352,قائمشهر - بابل,1400/12/05 00:00:00,1400/12/06 00:00:00,1430.0,34293,28288,2977,1887,386,755,83.0,34643.0,2653.0,12309.0,42.0
163352,قائمشهر - بابل,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,28582,23841,2539,1328,274,600,85.0,28582.0,3007.0,8762.0,12.0
163352,قائمشهر - بابل,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,33598,27308,3242,2025,297,726,84.0,33598.0,2868.0,11608.0,24.0
163352,قائمشهر - بابل,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,32941,26998,2865,2002,356,720,83.0,32941.0,2298.0,11437.0,17.0
163352,قائمشهر - بابل,1400/12/09 00:00:00,1400/12/09 23:55:00,1435.0,35161,28920,3345,1865,351,680,84.0,35240.0,2649.0,13043.0,24.0
163352,قائمشهر - بابل,1400/12/10 00:00:00,1400/12/11 00:00:00,1440.0,30248,24527,2933,1774,335,679,83.0,30248.0,2417.0,9353.0,15.0
163352,قائمشهر - بابل,1400/12/11 00:00:00,1400/12/12 00:00:00,1440.0,35963,29521,3231,2098,377,736,84.0,35963.0,2829.0,13224.0,27.0
163352,قائمشهر - بابل,1400/12/12 00:00:00,1400/12/13 00:00:00,1440.0,35070,28632,3497,1841,359,741,83.0,35070.0,2935.0,12612.0,29.0
163352,قائمشهر - بابل,1400/12/13 00:00:00,1400/12/14 00:00:00,1305.0,24669,20496,2190,1220,244,519,84.0,28062.0,2760.0,7152.0,11.0
163352,قائمشهر - بابل,1400/12/14 00:00:00,1400/12/15 00:00:00,1440.0,32684,26374,3329,1937,336,708,82.0,32684.0,2858.0,11139.0,38.0
163352,قائمشهر - بابل,1400/12/15 00:00:00,1400/12/16 00:00:00,1390.0,32204,26030,2878,2091,400,805,82.0,33759.0,2638.0,11061.0,26.0
163352,قائمشهر - بابل,1400/12/16 00:00:00,1400/12/17 00:00:00,1440.0,33446,27004,3216,2111,382,733,82.0,33446.0,2413.0,11128.0,21.0
163352,قائمشهر - بابل,1400/12/17 00:00:00,1400/12/18 00:00:00,1440.0,34558,27663,3490,2187,385,833,84.0,34558.0,2931.0,12202.0,24.0
163352,قائمشهر - بابل,1400/12/18 00:00:00,1400/12/19 00:00:00,1440.0,35509,28219,3786,2290,402,812,83.0,35509.0,2928.0,13020.0,30.0
163352,قائمشهر - بابل,1400/12/19 00:00:00,1400/12/20 00:00:00,1430.0,36765,29567,3811,2180,435,772,79.0,37056.0,1902.0,13711.0,27.0
163352,قائمشهر - بابل,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,32646,26744,3149,1876,294,583,83.0,32646.0,2658.0,10860.0,19.0
163352,قائمشهر - بابل,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,39752,32087,3993,2477,402,793,81.0,39752.0,2166.0,15723.0,39.0
163352,قائمشهر - بابل,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,42579,34160,4289,2934,407,789,80.0,42579.0,1863.0,17594.0,38.0
163352,قائمشهر - بابل,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,43989,35561,4431,2820,388,789,77.0,43989.0,1857.0,18728.0,46.0
163352,قائمشهر - بابل,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,44397,35420,4582,3082,455,858,77.0,44397.0,1674.0,19309.0,23.0
163352,قائمشهر - بابل,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,40517,33648,3159,2542,404,764,76.0,40517.0,1317.0,16142.0,30.0
163352,قائمشهر - بابل,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,36843,30023,3483,2246,372,719,82.0,36843.0,2495.0,13523.0,37.0
163352,قائمشهر - بابل,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,33308,27526,3135,1725,341,581,84.0,33308.0,3038.0,11425.0,19.0
163352,قائمشهر - بابل,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,34530,28560,3471,1699,305,495,84.0,34530.0,3173.0,11961.0,20.0
163352,قائمشهر - بابل,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,24614,21005,2234,876,192,307,85.0,24614.0,2742.0,5815.0,11.0
163352,قائمشهر - بابل,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,42739,38125,2568,999,452,595,62.0,42739.0,3206.0,18095.0,0.0
163352,قائمشهر - بابل,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,43368,38498,2728,1016,500,626,62.0,43368.0,3171.0,18801.0,0.0
163352,قائمشهر - بابل,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,43068,38493,2561,948,432,634,62.0,43068.0,3154.0,18241.0,0.0
163352,قائمشهر - بابل,1401/12/04 00:00:00,1401/12/05 00:00:00,1440.0,42047,37668,2488,882,441,568,61.0,42047.0,3306.0,17345.0,0.0
163352,قائمشهر - بابل,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,33239,30104,1736,577,383,439,59.0,33239.0,1842.0,11057.0,0.0
163352,قائمشهر - بابل,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,40491,36265,2366,852,446,562,63.0,40491.0,3529.0,16154.0,0.0
163352,قائمشهر - بابل,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,40179,35765,2382,1004,449,579,64.0,40179.0,3374.0,16056.0,0.0
163352,قائمشهر - بابل,1401/12/08 00:00:00,1401/12/09 00:00:00,1305.0,13318,11728,839,317,172,262,61.0,36316.0,1307.0,4529.0,0.0
163352,قائمشهر - بابل,1401/12/09 00:00:00,1401/12/10 00:00:00,1425.0,776,735,20,3,11,7,22.0,10375.0,8.0,8.0,0.0
163352,قائمشهر - بابل,1401/12/10 00:00:00,1401/12/11 00:00:00,1285.0,813,775,18,5,9,6,24.0,2734.0,7.0,13.0,0.0
163352,قائمشهر - بابل,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,841,782,26,12,12,9,19.0,2288.0,6.0,12.0,0.0
163352,قائمشهر - بابل,1401/12/12 00:00:00,1401/12/13 00:00:00,1440.0,764,728,13,4,9,10,18.0,764.0,4.0,9.0,0.0
163352,قائمشهر - بابل,1401/12/13 00:00:00,1401/12/14 00:00:00,1395.0,999,936,27,7,14,15,20.0,5304.0,6.0,11.0,0.0
163352,قائمشهر - بابل,1401/12/14 00:00:00,1401/12/15 00:00:00,1440.0,984,918,32,8,14,12,19.0,1281.0,11.0,10.0,0.0
163352,قائمشهر - بابل,1401/12/15 00:00:00,1401/12/16 00:00:00,1440.0,792,731,31,7,6,17,19.0,1095.0,9.0,7.0,0.0
163352,قائمشهر - بابل,1401/12/16 00:00:00,1401/12/17 00:00:00,1440.0,798,743,29,7,5,14,17.0,1130.0,6.0,9.0,0.0
163352,قائمشهر - بابل,1401/12/17 00:00:00,1401/12/18 00:00:00,1440.0,808,765,17,10,8,8,17.0,808.0,1.0,9.0,0.0
163352,قائمشهر - بابل,1401/12/18 00:00:00,1401/12/19 00:00:00,1440.0,28242,22296,3728,1254,318,646,66.0,34673.0,3354.0,13264.0,0.0
163352,قائمشهر - بابل,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,36494,28877,4475,1680,455,1007,67.0,36494.0,4814.0,13856.0,0.0
163352,قائمشهر - بابل,1401/12/20 00:00:00,1401/12/21 00:00:00,1400.0,42207,32542,5654,2203,563,1245,69.0,43637.0,5564.0,18795.0,0.0
163352,قائمشهر - بابل,1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,43900,33255,6075,2513,696,1361,67.0,43900.0,5441.0,19823.0,0.0
163352,قائمشهر - بابل,1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,44829,33886,6278,2578,704,1383,67.0,44829.0,5495.0,20058.0,0.0
163352,قائمشهر - بابل,1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,43910,33542,5796,2504,692,1376,68.0,43910.0,5257.0,19125.0,0.0
163352,قائمشهر - بابل,1401/12/24 00:00:00,1401/12/25 00:00:00,1435.0,45936,35094,6160,2567,722,1393,69.0,46155.0,5179.0,20726.0,0.0
163352,قائمشهر - بابل,1401/12/25 00:00:00,1401/12/26 00:00:00,1440.0,46148,35713,5941,2478,646,1370,67.0,46148.0,4764.0,20653.0,0.0
163352,قائمشهر - بابل,1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,42729,33164,5703,2123,575,1164,69.0,42729.0,5544.0,18249.0,0.0
163352,قائمشهر - بابل,1401/12/27 00:00:00,1401/12/28 00:00:00,1440.0,46975,36080,6577,2484,638,1196,67.0,46975.0,5674.0,21562.0,0.0
163352,قائمشهر - بابل,1401/12/28 00:00:00,1401/12/29 00:00:00,1440.0,45861,35662,6181,2377,583,1058,68.0,45861.0,5488.0,20108.0,0.0
163352,قائمشهر - بابل,1401/12/29 00:00:00,1402/01/01 00:00:00,1440.0,38748,31684,4459,1468,423,714,68.0,38748.0,5117.0,14851.0,0.0
163352,قائمشهر - بابل,1402/01/01 00:00:00,1402/01/02 00:00:00,1440.0,37081,30863,4324,1071,294,529,70.0,37081.0,4610.0,14916.0,0.0
163352,قائمشهر - بابل,1402/01/02 00:00:00,1402/01/03 00:00:00,1400.0,39642,32851,4664,1179,351,597,66.0,40244.0,2798.0,18332.0,0.0
163352,قائمشهر - بابل,1402/01/03 00:00:00,1402/01/04 00:00:00,1440.0,49290,40577,6143,1455,370,745,69.0,49290.0,5570.0,25042.0,0.0
163352,قائمشهر - بابل,1402/01/04 00:00:00,1402/01/05 00:00:00,1440.0,57267,46707,7436,1870,497,757,67.0,57267.0,7042.0,30874.0,0.0
163352,قائمشهر - بابل,1402/01/05 00:00:00,1402/01/06 00:00:00,1440.0,55319,44297,7326,2185,571,940,67.0,55319.0,6228.0,29941.0,0.0
163352,قائمشهر - بابل,1402/01/06 00:00:00,1402/01/07 00:00:00,1440.0,50855,40622,6450,2120,567,1096,68.0,50855.0,6044.0,24954.0,0.0
163352,قائمشهر - بابل,1402/01/07 00:00:00,1402/01/08 00:00:00,1440.0,50229,40095,6548,2070,533,983,68.0,50229.0,5957.0,24765.0,0.0
163352,قائمشهر - بابل,1402/01/08 00:00:00,1402/01/09 00:00:00,1440.0,48183,38333,6193,2026,565,1066,66.0,48183.0,5627.0,23008.0,0.0
163352,قائمشهر - بابل,1402/01/09 00:00:00,1402/01/09 23:55:00,1370.0,44058,35057,5580,1934,495,992,69.0,47273.0,5472.0,20833.0,0.0
163352,قائمشهر - بابل,1402/01/10 00:00:00,1402/01/11 00:00:00,1380.0,46861,37470,5860,1973,541,1017,68.0,48376.0,5524.0,22551.0,0.0
163352,قائمشهر - بابل,1402/01/11 00:00:00,1402/01/12 00:00:00,1440.0,38652,31527,4749,1258,389,729,65.0,38652.0,3132.0,15354.0,0.0
163352,قائمشهر - بابل,1402/01/12 00:00:00,1402/01/13 00:00:00,1435.0,34507,28146,4206,1179,314,662,66.0,34666.0,3627.0,12206.0,0.0
163352,قائمشهر - بابل,1402/01/13 00:00:00,1402/01/14 00:00:00,1435.0,28450,23815,3180,733,247,475,70.0,28494.0,4961.0,9361.0,0.0
163352,قائمشهر - بابل,1402/01/14 00:00:00,1402/01/15 00:00:00,1415.0,38695,31128,4810,1562,420,775,69.0,39598.0,5766.0,15471.0,0.0
163352,قائمشهر - بابل,1402/01/15 00:00:00,1402/01/16 00:00:00,1440.0,41487,32370,5301,2072,559,1185,69.0,41487.0,5896.0,17533.0,0.0
163352,قائمشهر - بابل,1402/01/16 00:00:00,1402/01/17 00:00:00,1440.0,42255,33187,5164,2098,574,1232,69.0,42255.0,5584.0,18262.0,0.0
163352,قائمشهر - بابل,1402/01/17 00:00:00,1402/01/18 00:00:00,1440.0,42403,33739,4999,1991,544,1130,68.0,42403.0,5617.0,17643.0,0.0
163352,قائمشهر - بابل,1402/01/18 00:00:00,1402/01/19 00:00:00,1440.0,34235,27519,4070,1387,401,858,68.0,41448.0,5617.0,11993.0,0.0
163352,قائمشهر - بابل,1402/01/19 00:00:00,1402/01/20 00:00:00,1420.0,35754,28265,4331,1717,456,985,71.0,38778.0,5107.0,14966.0,0.0
163352,قائمشهر - بابل,1402/01/20 00:00:00,1402/01/21 00:00:00,1440.0,40251,31000,5280,2156,618,1197,68.0,40251.0,5433.0,16780.0,0.0
163352,قائمشهر - بابل,1402/01/21 00:00:00,1402/01/22 00:00:00,1440.0,40295,30598,5550,2302,575,1270,70.0,40295.0,5498.0,17243.0,0.0
163352,قائمشهر - بابل,1402/01/22 00:00:00,1402/01/23 00:00:00,1435.0,42433,32621,5555,2298,615,1344,70.0,42574.0,6128.0,18662.0,0.0
163352,قائمشهر - بابل,1402/01/23 00:00:00,1402/01/24 00:00:00,1430.0,31311,24501,4018,1450,411,931,71.0,31468.0,5617.0,10262.0,0.0
163352,قائمشهر - بابل,1402/01/24 00:00:00,1402/01/25 00:00:00,1440.0,39449,30975,5042,1864,513,1055,68.0,39449.0,5494.0,15815.0,0.0
163352,قائمشهر - بابل,1402/01/25 00:00:00,1402/01/26 00:00:00,1440.0,32644,25715,4256,1370,387,916,66.0,36946.0,5440.0,11720.0,0.0
163352,قائمشهر - بابل,1402/01/26 00:00:00,1402/01/27 00:00:00,1325.0,36533,28080,4827,1920,567,1139,66.0,42735.0,5437.0,15040.0,0.0
163352,قائمشهر - بابل,1402/01/27 00:00:00,1402/01/28 00:00:00,1440.0,40221,30721,5471,2201,614,1214,66.0,40221.0,4573.0,16853.0,0.0
163352,قائمشهر - بابل,1402/01/28 00:00:00,1402/01/29 00:00:00,1440.0,41399,31567,5743,2258,599,1232,68.0,41399.0,5680.0,17536.0,0.0
163352,قائمشهر - بابل,1402/01/29 00:00:00,1402/01/30 00:00:00,1440.0,42021,32216,5617,2289,592,1307,68.0,42021.0,5720.0,18508.0,0.0
163352,قائمشهر - بابل,1402/01/30 00:00:00,1402/01/30 14:20:00,860.0,22719,16847,3244,1437,394,797,66.0,44545.0,3000.0,10010.0,0.0
163352,قائمشهر - بابل,1402/01/31 10:10:00,1402/02/01 00:00:00,820.0,36445,28901,4721,1592,452,779,61.0,54661.0,3150.0,22862.0,0.0
163352,قائمشهر - بابل,1398/01/01 00:00:00,1398/01/02 00:00:00,1440.0,29366,28266,364,425,106,205,82.0,29366.0,54.0,9236.0,0.0
163352,قائمشهر - بابل,1398/01/02 00:00:00,1398/01/03 00:00:00,1380.0,35275,33842,470,547,139,277,80.0,36538.0,58.0,13600.0,0.0
163352,قائمشهر - بابل,1398/01/03 00:00:00,1398/01/04 00:00:00,1440.0,40979,39211,610,671,184,303,80.0,40979.0,87.0,16490.0,0.0
163352,قائمشهر - بابل,1398/01/04 00:00:00,1398/01/05 00:00:00,1440.0,41385,39441,666,793,182,303,79.0,41385.0,84.0,16643.0,0.0
163352,قائمشهر - بابل,1398/01/05 00:00:00,1398/01/06 00:00:00,1440.0,43666,41341,787,945,227,366,74.0,43666.0,91.0,17812.0,0.0
163352,قائمشهر - بابل,1398/01/06 00:00:00,1398/01/07 00:00:00,1440.0,37304,35177,656,936,189,346,74.0,37304.0,43.0,13134.0,0.0
163352,قائمشهر - بابل,1398/01/07 00:00:00,1398/01/08 00:00:00,1440.0,45879,43064,927,1248,218,422,77.0,45879.0,119.0,19479.0,0.0
163352,قائمشهر - بابل,1398/01/08 00:00:00,1398/01/09 00:00:00,1440.0,44739,42077,860,1175,238,389,78.0,44739.0,102.0,19009.0,0.0
163352,قائمشهر - بابل,1398/01/09 00:00:00,1398/01/10 00:00:00,1429.0,40090,36178,1518,1357,376,661,76.0,40439.0,364.0,17098.0,0.0
163352,قائمشهر - بابل,1398/01/10 00:00:00,1398/01/11 00:00:00,1440.0,36992,32346,1717,1727,416,786,76.0,36992.0,422.0,13683.0,0.0
163352,قائمشهر - بابل,1398/01/11 00:00:00,1398/01/12 00:00:00,1440.0,33841,29528,1550,1610,399,754,74.0,33841.0,361.0,11540.0,0.0
163352,قائمشهر - بابل,1398/01/12 00:00:00,1398/01/13 00:00:00,1378.0,35179,31301,1506,1380,378,614,74.0,37297.0,362.0,13161.0,0.0
163352,قائمشهر - بابل,1398/01/13 00:00:00,1398/01/14 00:00:00,1440.0,28764,26319,937,780,250,478,79.0,28764.0,340.0,9007.0,0.0
163352,قائمشهر - بابل,1398/01/14 00:00:00,1398/01/15 00:00:00,1421.0,36934,33308,1397,1246,334,649,77.0,37476.0,368.0,13870.0,0.0
163352,قائمشهر - بابل,1398/01/15 00:00:00,1398/01/16 00:00:00,1440.0,38077,34282,1489,1403,353,550,79.0,38077.0,380.0,13350.0,0.0
163352,قائمشهر - بابل,1398/01/16 00:00:00,1398/01/17 00:00:00,1440.0,33032,30023,1181,1031,304,493,79.0,33032.0,352.0,10540.0,0.0
163352,قائمشهر - بابل,1398/01/17 00:00:00,1398/01/18 00:00:00,1440.0,32245,28140,1397,1693,379,636,76.0,32245.0,292.0,10255.0,0.0
