Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973401,کردکوي - گلوگاه,1400/12/01 00:00:00,1400/12/01 15:10:00,910.0,8290,6600,876,319,143,352,92.0,13916.0,853.0,958.0,0.0
973401,کردکوي - گلوگاه,1400/12/02 12:00:00,1400/12/02 17:05:00,305.0,4348,3634,299,163,60,192,95.0,13084.0,460.0,642.0,0.0
973401,کردکوي - گلوگاه,1400/12/03 08:00:00,1400/12/03 20:35:00,755.0,10521,8741,818,404,148,410,94.0,14889.0,1110.0,1543.0,0.0
973401,کردکوي - گلوگاه,1400/12/04 08:50:00,1400/12/05 00:00:00,910.0,12355,10290,1013,459,136,457,93.0,15315.0,1308.0,1896.0,0.0
973401,کردکوي - گلوگاه,1400/12/05 00:00:00,1400/12/06 00:00:00,1405.0,16679,14261,1252,457,182,527,94.0,16993.0,1828.0,2649.0,0.0
973401,کردکوي - گلوگاه,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,17743,15290,1311,450,157,535,93.0,17743.0,1554.0,2900.0,0.0
973401,کردکوي - گلوگاه,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,15118,12360,1329,619,215,595,92.0,15118.0,1515.0,1865.0,0.0
973401,کردکوي - گلوگاه,1400/12/08 00:00:00,1400/12/08 20:20:00,1205.0,11373,9324,897,489,162,501,90.0,13341.0,952.0,1271.0,0.0
973401,کردکوي - گلوگاه,1400/12/09 07:35:00,1400/12/09 22:45:00,910.0,13131,11006,1016,495,143,471,94.0,15397.0,1375.0,2183.0,0.0
973401,کردکوي - گلوگاه,1400/12/10 07:20:00,1400/12/11 00:00:00,1000.0,14231,12089,1105,443,127,467,93.0,15327.0,1416.0,2273.0,0.0
973401,کردکوي - گلوگاه,1400/12/11 00:00:00,1400/12/11 01:40:00,100.0,686,506,63,47,20,50,91.0,16453.0,69.0,48.0,0.0
973401,کردکوي - گلوگاه,1400/12/12 08:15:00,1400/12/13 00:00:00,945.0,14326,12524,858,392,144,408,94.0,17064.0,1470.0,2485.0,0.0
973401,کردکوي - گلوگاه,1400/12/13 00:00:00,1400/12/14 00:00:00,1190.0,15520,13351,1255,360,138,416,92.0,17590.0,1504.0,2797.0,0.0
973401,کردکوي - گلوگاه,1400/12/14 00:00:00,1400/12/15 00:00:00,1160.0,13645,11017,1325,557,182,564,93.0,15327.0,1587.0,1816.0,0.0
973401,کردکوي - گلوگاه,1400/12/15 00:00:00,1400/12/15 21:00:00,1260.0,13407,10713,1418,559,205,512,93.0,14830.0,1559.0,1801.0,0.0
973401,کردکوي - گلوگاه,1400/12/16 10:15:00,1400/12/16 16:30:00,375.0,5326,4336,546,194,71,179,95.0,14490.0,663.0,819.0,0.0
973401,کردکوي - گلوگاه,1400/12/17 07:30:00,1400/12/18 00:00:00,960.0,12608,10570,1001,452,181,404,83.0,15639.0,533.0,1797.0,0.0
973401,کردکوي - گلوگاه,1400/12/18 00:00:00,1400/12/18 16:40:00,1000.0,10381,8549,901,371,171,389,80.0,15722.0,213.0,1368.0,0.0
973401,کردکوي - گلوگاه,1400/12/24 13:45:00,1400/12/24 16:00:00,135.0,2341,1876,267,84,39,75,94.0,13301.0,1170.0,430.0,0.0
973401,کردکوي - گلوگاه,1400/12/25 08:40:00,1400/12/25 17:40:00,540.0,8647,6965,932,332,142,276,91.0,14075.0,3715.0,1614.0,0.0
973401,کردکوي - گلوگاه,1400/12/26 07:30:00,1400/12/26 18:25:00,405.0,7659,6385,798,220,65,191,95.0,17807.0,3973.0,1634.0,0.0
973401,کردکوي - گلوگاه,1400/12/27 06:45:00,1400/12/28 00:00:00,1035.0,18355,15658,1833,395,118,351,93.0,20036.0,8736.0,3818.0,0.0
973401,کردکوي - گلوگاه,1400/12/28 00:00:00,1400/12/29 00:00:00,1365.0,18884,16162,1866,338,124,394,92.0,19489.0,8693.0,3453.0,0.0
973401,کردکوي - گلوگاه,1400/12/29 00:00:00,1400/12/29 18:25:00,965.0,12326,10941,1075,108,53,149,92.0,13781.0,5459.0,2288.0,0.0
973401,کردکوي - گلوگاه,1401/12/01 00:00:00,1401/12/02 00:00:00,1440.0,16869,14530,889,641,212,597,83.0,16869.0,324.0,2280.0,0.0
973401,کردکوي - گلوگاه,1401/12/02 00:00:00,1401/12/03 00:00:00,1440.0,16701,14315,934,630,201,621,82.0,16701.0,293.0,2329.0,0.0
973401,کردکوي - گلوگاه,1401/12/03 00:00:00,1401/12/04 00:00:00,1440.0,16972,14645,881,620,204,622,83.0,16972.0,338.0,2386.0,0.0
973401,کردکوي - گلوگاه,1401/12/04 00:00:00,1401/12/05 00:00:00,1430.0,17439,15437,735,515,200,552,83.0,17583.0,335.0,2806.0,0.0
973401,کردکوي - گلوگاه,1401/12/05 00:00:00,1401/12/06 00:00:00,1440.0,17002,15257,685,419,156,485,80.0,17002.0,183.0,2611.0,0.0
973401,کردکوي - گلوگاه,1401/12/06 00:00:00,1401/12/07 00:00:00,1440.0,16068,13769,837,584,224,654,84.0,16068.0,366.0,2157.0,0.0
973401,کردکوي - گلوگاه,1401/12/07 00:00:00,1401/12/08 00:00:00,1440.0,16130,13733,886,650,219,642,83.0,16130.0,318.0,2134.0,0.0
973401,کردکوي - گلوگاه,1401/12/08 00:00:00,1401/12/09 00:00:00,1440.0,16109,13688,903,601,244,673,83.0,16109.0,360.0,2175.0,0.0
973401,کردکوي - گلوگاه,1401/12/09 00:00:00,1401/12/10 00:00:00,1440.0,16396,13974,850,631,247,694,83.0,16396.0,342.0,2285.0,0.0
973401,کردکوي - گلوگاه,1401/12/10 00:00:00,1401/12/11 00:00:00,1440.0,16910,14457,855,633,234,731,82.0,16910.0,342.0,2442.0,0.0
973401,کردکوي - گلوگاه,1401/12/11 00:00:00,1401/12/12 00:00:00,1440.0,17729,15472,696,603,227,731,83.0,17729.0,376.0,2861.0,0.0
973401,کردکوي - گلوگاه,1401/12/12 00:00:00,1401/12/13 00:00:00,1390.0,17437,15604,692,407,184,550,83.0,18150.0,311.0,2946.0,0.0
973401,کردکوي - گلوگاه,1401/12/16 09:40:00,1401/12/17 00:00:00,860.0,13074,11498,490,447,137,502,81.0,17374.0,212.0,2223.0,0.0
973401,کردکوي - گلوگاه,1401/12/17 00:00:00,1401/12/17 06:55:00,415.0,2085,1664,158,104,45,114,81.0,6357.0,55.0,118.0,0.0
973401,کردکوي - گلوگاه,1401/12/18 09:00:00,1401/12/19 00:00:00,900.0,13974,12602,408,390,152,422,85.0,17938.0,416.0,2426.0,0.0
973401,کردکوي - گلوگاه,1401/12/19 00:00:00,1401/12/20 00:00:00,1440.0,20105,18118,725,496,201,565,84.0,20105.0,453.0,3776.0,0.0
973401,کردکوي - گلوگاه,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,17079,14620,790,718,213,738,84.0,17079.0,551.0,2558.0,0.0
973401,کردکوي - گلوگاه,1401/12/21 00:00:00,1401/12/22 00:00:00,1440.0,16802,14343,877,738,191,653,83.0,16802.0,426.0,2318.0,0.0
973401,کردکوي - گلوگاه,1401/12/22 00:00:00,1401/12/23 00:00:00,1440.0,17416,14754,912,785,235,730,83.0,17416.0,412.0,2551.0,0.0
973401,کردکوي - گلوگاه,1401/12/23 00:00:00,1401/12/24 00:00:00,1440.0,17545,14989,923,755,224,654,82.0,17545.0,375.0,2633.0,0.0
973401,کردکوي - گلوگاه,1401/12/24 00:00:00,1401/12/25 00:00:00,1440.0,18000,15384,922,737,259,698,83.0,18000.0,516.0,2708.0,0.0
973401,کردکوي - گلوگاه,1401/12/25 00:00:00,1401/12/26 00:00:00,1440.0,19992,17747,745,656,214,630,83.0,19992.0,411.0,3558.0,0.0
973401,کردکوي - گلوگاه,1401/12/26 00:00:00,1401/12/27 00:00:00,1440.0,22278,19968,826,617,202,665,83.0,22278.0,436.0,4508.0,0.0
973401,کردکوي - گلوگاه,1401/12/27 00:00:00,1401/12/28 00:00:00,1420.0,20511,18418,717,609,202,565,84.0,21500.0,476.0,3838.0,0.0
973401,کردکوي - گلوگاه,1401/12/28 00:00:00,1401/12/29 00:00:00,1440.0,22048,20295,643,497,153,460,83.0,22091.0,391.0,4329.0,0.0
973401,کردکوي - گلوگاه,1401/12/29 00:00:00,1401/12/29 12:15:00,735.0,8390,7924,166,88,76,136,83.0,10772.0,142.0,1373.0,0.0
973401,کردکوي - گلوگاه,1395/01/01 00:00:00,1395/01/02 02:00:00,1485.0,14975,14463,234,177,97,4,93.2,,692.0,1687.0,0.0
973401,کردکوي - گلوگاه,1395/01/02 02:00:00,1395/01/03 00:00:00,1320.0,15714,15231,239,109,102,33,92.07,,533.0,1912.0,0.0
973401,کردکوي - گلوگاه,1395/01/03 00:00:00,1395/01/04 00:00:00,1440.0,14937,14340,298,142,139,18,90.53,,471.0,1582.0,0.0
973401,کردکوي - گلوگاه,1395/01/04 00:00:00,1395/01/05 00:00:00,1440.0,17782,17025,349,204,175,29,92.86,,666.0,2464.0,0.0
973401,کردکوي - گلوگاه,1395/01/05 00:00:00,1395/01/06 00:00:00,1440.0,17833,17153,321,185,137,37,92.89,,628.0,2747.0,0.0
973401,کردکوي - گلوگاه,1395/01/06 00:00:00,1395/01/07 00:00:00,1440.0,21694,20820,464,176,205,29,92.7,,754.0,3911.0,0.0
973401,کردکوي - گلوگاه,1395/01/07 00:00:00,1395/01/08 00:00:00,1440.0,20506,19392,512,260,259,83,92.47,,722.0,2931.0,0.0
973401,کردکوي - گلوگاه,1395/01/08 00:00:00,1395/01/09 00:00:00,1440.0,17164,16041,457,260,290,116,92.29,,578.0,2367.0,0.0
973401,کردکوي - گلوگاه,1395/01/09 00:00:00,1395/01/10 00:00:00,1440.0,14373,13357,397,248,299,72,92.67,,482.0,1844.0,0.0
973401,کردکوي - گلوگاه,1395/01/10 00:00:00,1395/01/11 00:00:00,1440.0,16504,15304,466,278,312,144,92.33,,528.0,2063.0,0.0
973401,کردکوي - گلوگاه,1395/01/11 00:00:00,1395/01/12 00:00:00,1440.0,13301,12399,356,239,233,74,91.43,,354.0,1613.0,0.0
973401,کردکوي - گلوگاه,1395/01/12 00:00:00,1395/01/13 00:00:00,1440.0,12683,11978,317,176,179,33,92.09,,488.0,1364.0,0.0
973401,کردکوي - گلوگاه,1395/01/13 00:00:00,1395/01/14 00:00:00,1440.0,11479,10928,216,185,127,23,92.58,,447.0,849.0,0.0
973401,کردکوي - گلوگاه,1395/01/14 00:00:00,1395/01/15 00:00:00,1440.0,11776,10817,357,226,272,104,93.8,,538.0,969.0,0.0
973401,کردکوي - گلوگاه,1395/01/15 00:00:00,1395/01/16 00:00:00,1440.0,10945,9568,460,392,360,165,93.19,,521.0,758.0,0.0
973401,کردکوي - گلوگاه,1395/01/16 00:00:00,1395/01/17 00:00:00,1440.0,9410,7816,496,412,428,258,90.47,,320.0,452.0,0.0
973401,کردکوي - گلوگاه,1395/01/17 00:00:00,1395/01/18 00:00:00,1440.0,9713,8021,557,429,434,272,92.17,,416.0,570.0,0.0
973401,کردکوي - گلوگاه,1395/01/18 00:00:00,1395/01/19 00:00:00,1440.0,9453,7842,561,446,365,239,92.79,,498.0,580.0,0.0
973401,کردکوي - گلوگاه,1395/01/19 00:00:00,1395/01/20 00:00:00,1440.0,8661,7395,447,350,323,146,92.96,,437.0,563.0,0.0
973401,کردکوي - گلوگاه,1395/01/20 00:00:00,1395/01/21 00:00:00,1440.0,9212,8071,419,307,301,114,93.23,,421.0,651.0,0.0
973401,کردکوي - گلوگاه,1395/01/21 00:00:00,1395/01/22 00:00:00,1440.0,10369,8794,527,385,346,317,92.42,,459.0,629.0,0.0
973401,کردکوي - گلوگاه,1395/01/22 00:00:00,1395/01/23 00:00:00,1440.0,10091,8299,652,489,425,226,92.37,,509.0,590.0,0.0
973401,کردکوي - گلوگاه,1395/01/23 00:00:00,1395/01/24 00:00:00,1440.0,10244,8370,665,547,402,260,91.46,,417.0,590.0,0.0
