Road Code,Road Name,Start Time,End Time,Length of Operation (minutes),Total Number of Vehicles,Number of Class 1 Vehicles,Number of Class 2 Vehicles,Number of Class 3 Vehicles,Number of Class 4 Vehicles,Number of Class 5 Vehicles,Average Speed,Estimated Number,Number of Illegal Speed Violations,Number of Illegal Distance Violations,Number of Illegal Overtaking Violations
973106,گرگان - آق قلا,1400/12/01 00:00:00,1400/12/02 00:00:00,1440.0,22465,20926,803,394,112,230,69.0,22465.0,94.0,5514.0,0.0
973106,گرگان - آق قلا,1400/12/02 00:00:00,1400/12/03 00:00:00,1440.0,20413,19198,620,289,99,207,69.0,20413.0,52.0,4395.0,0.0
973106,گرگان - آق قلا,1400/12/03 00:00:00,1400/12/04 00:00:00,1440.0,21808,20401,705,352,110,240,70.0,21808.0,124.0,5136.0,0.0
973106,گرگان - آق قلا,1400/12/04 00:00:00,1400/12/05 00:00:00,1440.0,22547,21089,756,361,91,250,70.0,22547.0,112.0,5456.0,0.0
973106,گرگان - آق قلا,1400/12/05 00:00:00,1400/12/06 00:00:00,1440.0,22059,20613,739,382,109,216,71.0,22059.0,108.0,5239.0,0.0
973106,گرگان - آق قلا,1400/12/06 00:00:00,1400/12/07 00:00:00,1440.0,15454,14579,423,218,67,167,72.0,15454.0,138.0,2230.0,0.0
973106,گرگان - آق قلا,1400/12/07 00:00:00,1400/12/08 00:00:00,1440.0,22642,21110,769,390,129,244,69.0,22642.0,104.0,5468.0,0.0
973106,گرگان - آق قلا,1400/12/08 00:00:00,1400/12/09 00:00:00,1440.0,20202,18939,655,331,99,178,69.0,20202.0,97.0,4151.0,0.0
973106,گرگان - آق قلا,1400/12/09 00:00:00,1400/12/10 00:00:00,1440.0,23154,21682,778,365,122,207,70.0,23154.0,126.0,5785.0,0.0
973106,گرگان - آق قلا,1400/12/10 00:00:00,1400/12/10 07:15:00,435.0,1500,1371,62,40,5,22,74.0,15205.0,24.0,108.0,0.0
973106,گرگان - آق قلا,1400/12/18 11:05:00,1400/12/19 00:00:00,775.0,15210,14177,581,255,94,103,70.0,23374.0,79.0,3671.0,0.0
973106,گرگان - آق قلا,1400/12/19 00:00:00,1400/12/20 00:00:00,1440.0,22671,21119,828,367,117,240,68.0,22671.0,73.0,5565.0,0.0
973106,گرگان - آق قلا,1400/12/20 00:00:00,1400/12/21 00:00:00,1440.0,15525,14687,437,207,83,111,71.0,15525.0,109.0,2376.0,0.0
973106,گرگان - آق قلا,1400/12/21 00:00:00,1400/12/22 00:00:00,1440.0,23584,22067,816,398,110,193,68.0,23584.0,80.0,6238.0,0.0
973106,گرگان - آق قلا,1400/12/22 00:00:00,1400/12/23 00:00:00,1440.0,23892,22307,828,432,143,182,69.0,23892.0,67.0,6102.0,0.0
973106,گرگان - آق قلا,1400/12/23 00:00:00,1400/12/24 00:00:00,1440.0,23783,22230,811,408,120,214,67.0,23783.0,95.0,6133.0,0.0
973106,گرگان - آق قلا,1400/12/24 00:00:00,1400/12/25 00:00:00,1440.0,23864,22288,819,401,139,217,67.0,23864.0,54.0,6337.0,0.0
973106,گرگان - آق قلا,1400/12/25 00:00:00,1400/12/26 00:00:00,1440.0,24044,22507,815,385,130,207,67.0,24044.0,65.0,6224.0,0.0
973106,گرگان - آق قلا,1400/12/26 00:00:00,1400/12/27 00:00:00,1440.0,23642,22202,746,354,134,206,69.0,23642.0,82.0,5949.0,0.0
973106,گرگان - آق قلا,1400/12/27 00:00:00,1400/12/28 00:00:00,1440.0,18889,17851,543,257,70,168,68.0,18889.0,83.0,3470.0,0.0
973106,گرگان - آق قلا,1400/12/28 00:00:00,1400/12/29 00:00:00,1440.0,24553,23154,746,315,117,221,67.0,24553.0,107.0,6561.0,0.0
973106,گرگان - آق قلا,1400/12/29 00:00:00,1401/01/01 00:00:00,1440.0,17880,17153,414,183,56,74,66.0,17880.0,78.0,3596.0,0.0
973106,گرگان - آق قلا,1401/12/01 00:45:00,1401/12/02 00:00:00,1120.0,20666,19007,1120,293,96,150,71.0,24282.0,196.0,5743.0,0.0
973106,گرگان - آق قلا,1401/12/02 00:00:00,1401/12/03 00:00:00,1435.0,24273,22275,1276,390,127,205,70.0,24352.0,219.0,6851.0,0.0
973106,گرگان - آق قلا,1401/12/03 00:00:00,1401/12/04 00:00:00,1435.0,25076,23062,1341,356,137,180,72.0,25131.0,304.0,7066.0,0.0
973106,گرگان - آق قلا,1401/12/04 00:00:00,1401/12/05 00:00:00,1410.0,23776,21896,1241,349,134,156,70.0,24013.0,288.0,6155.0,0.0
973106,گرگان - آق قلا,1401/12/05 00:00:00,1401/12/06 00:00:00,1380.0,14449,13438,693,166,64,88,73.0,15174.0,240.0,2104.0,0.0
973106,گرگان - آق قلا,1401/12/06 00:00:00,1401/12/07 00:00:00,1410.0,23089,19725,2397,584,236,147,71.0,23525.0,550.0,6492.0,0.0
973106,گرگان - آق قلا,1401/12/07 00:00:00,1401/12/08 00:00:00,1390.0,23689,20447,2341,560,194,147,71.0,24193.0,389.0,6619.0,0.0
973106,گرگان - آق قلا,1401/12/08 00:00:00,1401/12/09 00:00:00,1270.0,21481,19562,1299,355,128,137,72.0,23805.0,334.0,5880.0,0.0
973106,گرگان - آق قلا,1401/12/09 00:00:00,1401/12/10 00:00:00,1330.0,23294,21294,1305,377,127,191,72.0,24353.0,260.0,6537.0,0.0
973106,گرگان - آق قلا,1401/12/10 00:00:00,1401/12/11 00:00:00,1310.0,22514,20654,1215,336,127,182,71.0,24687.0,217.0,6294.0,0.0
973106,گرگان - آق قلا,1401/12/11 00:00:00,1401/12/12 00:00:00,1405.0,22748,20902,1188,354,143,161,71.0,23352.0,274.0,5780.0,0.0
973106,گرگان - آق قلا,1401/12/12 00:00:00,1401/12/13 00:00:00,1200.0,12681,11248,1048,244,72,69,74.0,15644.0,333.0,2010.0,0.0
973106,گرگان - آق قلا,1401/12/13 00:00:00,1401/12/14 00:00:00,1205.0,21751,19572,1515,372,148,144,71.0,24684.0,245.0,6281.0,0.0
973106,گرگان - آق قلا,1401/12/14 00:00:00,1401/12/15 00:00:00,1405.0,23716,21724,1305,342,152,193,73.0,24380.0,299.0,6534.0,0.0
973106,گرگان - آق قلا,1401/12/15 00:00:00,1401/12/16 00:00:00,1425.0,24896,23158,1022,329,117,270,72.0,25002.0,92.0,6841.0,0.0
973106,گرگان - آق قلا,1401/12/16 00:00:00,1401/12/17 00:00:00,1410.0,23071,20932,1424,386,136,193,71.0,23762.0,255.0,6086.0,0.0
973106,گرگان - آق قلا,1401/12/17 00:00:00,1401/12/17 23:55:00,1390.0,17179,14477,1869,518,187,128,74.0,17692.0,474.0,3041.0,0.0
973106,گرگان - آق قلا,1401/12/18 00:00:00,1401/12/19 00:00:00,1270.0,19693,17673,1391,373,120,136,72.0,22421.0,419.0,4950.0,0.0
973106,گرگان - آق قلا,1401/12/19 00:00:00,1401/12/20 00:00:00,1405.0,15601,13763,1271,319,121,127,75.0,16028.0,372.0,2402.0,0.0
973106,گرگان - آق قلا,1401/12/20 00:00:00,1401/12/21 00:00:00,1440.0,24496,22082,1656,417,175,166,74.0,24496.0,439.0,6854.0,0.0
973106,گرگان - آق قلا,1401/12/21 00:00:00,1401/12/22 00:00:00,1425.0,24592,22517,1356,370,148,201,73.0,24947.0,275.0,6747.0,0.0
973106,گرگان - آق قلا,1401/12/22 00:00:00,1401/12/23 00:00:00,1395.0,24827,23018,1155,367,116,171,71.0,25653.0,218.0,6937.0,0.0
973106,گرگان - آق قلا,1401/12/23 00:00:00,1401/12/24 00:00:00,1395.0,23139,21211,1243,356,132,197,72.0,23879.0,252.0,6288.0,0.0
973106,گرگان - آق قلا,1401/12/24 00:00:00,1401/12/25 00:00:00,1430.0,24611,22477,1413,385,156,180,72.0,24871.0,344.0,6622.0,0.0
973106,گرگان - آق قلا,1401/12/25 00:00:00,1401/12/26 00:00:00,1415.0,24361,22535,1214,304,114,194,71.0,24745.0,244.0,6690.0,0.0
973106,گرگان - آق قلا,1401/12/26 00:00:00,1401/12/27 00:00:00,1325.0,17899,15864,1453,294,142,146,75.0,18753.0,436.0,3290.0,0.0
973106,گرگان - آق قلا,1401/12/27 00:00:00,1401/12/28 00:00:00,1370.0,24049,21148,2089,461,175,176,70.0,23538.0,417.0,6714.0,0.0
973106,گرگان - آق قلا,1401/12/28 00:00:00,1401/12/29 00:00:00,1415.0,23360,20911,1714,397,178,160,73.0,23827.0,432.0,6127.0,0.0
973106,گرگان - آق قلا,1401/12/29 00:00:00,1402/01/01 00:00:00,1425.0,18495,16660,1370,281,104,80,73.0,18590.0,419.0,3747.0,0.0
973106,گرگان - آق قلا,1395/01/01 00:00:00,1395/01/02 02:00:00,1485.0,7013,6819,126,42,23,3,80.64,,258.0,554.0,0.0
973106,گرگان - آق قلا,1395/01/02 02:00:00,1395/01/03 00:00:00,1305.0,4401,4316,66,15,3,1,79.23,,56.0,451.0,0.0
973106,گرگان - آق قلا,1395/01/03 00:00:00,1395/01/04 00:00:00,1305.0,3755,3686,58,8,3,0,77.63,,40.0,344.0,0.0
973106,گرگان - آق قلا,1395/01/04 00:00:00,1395/01/05 00:00:00,1380.0,4408,4299,68,28,9,4,77.74,,41.0,456.0,0.0
